#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sat Nov  8 15:27:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scanner_wrapper_map.ncd
#OUTPUT FILE:      scanner_wrapper_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AG32,scn_data_clt<255>,IOB,IO_L1P_SM7P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AG33,,IOBS,IO_L3N_SM5N_13,UNUSED,,13,,,,,,,,,
AG34,,IOBM,IO_L3P_SM5P_13,UNUSED,,13,,,,,,,,,
AG35,,,GND,,,,,,,,,,,,
AG36,scn_bvld_clt<27>,IOB,IO_L19P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AG37,scn_data_clt<145>,IOB,IO_L19N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AG38,scn_bvld_clt<16>,IOB,IO_L13N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AG39,,,GND,,,,,,,,,,,,
AG40,,,MGTAVTTTX_113,,,,,,,,,,,,
AG41,,OPAD,MGTTXP1_113,UNUSED,,,,,,,,,,,
AG42,,,GND,,,,,,,,,,,,
AH1,,,GND,,,,,,,,,,,,
AH2,,OPAD,MGTTXP0_118,UNUSED,,,,,,,,,,,
AH3,,,GND,,,,,,,,,,,,
AH4,,,GND,,,,,,,,,,,,
AH5,dpt_id_scn<25>,IOB,IO_L7N_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AH6,,IOBS,IO_L9N_CC_14,UNUSED,,14,,,,,,,,,
AH7,,,VCCO_14,,,14,,,,,2.50,,,,
AH8,,IOBS,IO_L10N_CC_14,UNUSED,,14,,,,,,,,,
AH9,scn_data_clt<11>,IOB,IO_L13P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AH10,scn_id_clt<16>,IOB,IO_L4N_VREF_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AH11,dpt_bvld_scn<26>,IOB,IO_L4P_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AH12,,,GND,,,,,,,,,,,,
AH13,scn_data_clt<223>,IOB,IO_L5P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AH14,scn_data_clt<219>,IOB,IO_L3P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AH15,scn_data_clt<216>,IOB,IO_L1N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AH16,,,TDO_0,,,,,,,,,,,,
AH17,,,VCCO_2,,,2,,,,,2.50,,,,
AH18,,,GND,,,,,,,,,,,,
AH19,,,VCCINT,,,,,,,,1.0,,,,
AH20,,,GND,,,,,,,,,,,,
AH21,,,VCCINT,,,,,,,,1.0,,,,
AH22,,,GND,,,,,,,,,,,,
AH23,,,VCCINT,,,,,,,,1.0,,,,
AH24,,,GND,,,,,,,,,,,,
AH25,,,VCCINT,,,,,,,,1.0,,,,
AH26,,,GND,,,,,,,,,,,,
AH27,,,VCCINT,,,,,,,,1.0,,,,
AH28,,,M2_0,,,,,,,,,,,,
AH29,scn_data_clt<123>,IOB,IO_L0N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AH30,scn_data_clt<157>,IOB,IO_L0P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AH31,scn_data_clt<57>,IOB,IO_L2P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AH32,,,GND,,,,,,,,,,,,
AH33,scn_data_clt<94>,IOB,IO_L10N_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AH34,scn_bvld_clt<25>,IOB,IO_L10P_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AH35,scn_data_clt<147>,IOB,IO_L12P_VRN_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AH36,scn_bvld_clt<28>,IOB,IO_L18N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AH37,,,VCCO_13,,,13,,,,,2.50,,,,
AH38,scn_bvld_clt<15>,IOB,IO_L13P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AH39,,,GND,,,,,,,,,,,,
AH40,,,GND,,,,,,,,,,,,
AH41,,OPAD,MGTTXP0_117,UNUSED,,,,,,,,,,,
AH42,,,GND,,,,,,,,,,,,
AJ1,,IPAD,MGTRXP0_118,UNUSED,,,,,,,,,,,
AJ2,,OPAD,MGTTXN0_118,UNUSED,,,,,,,,,,,
AJ3,,,MGTAVTTRX_118,,,,,,,,,,,,
AJ4,,,GND,,,,,,,,,,,,
AJ5,,,GND,,,,,,,,,,,,
AJ6,,IOBM,IO_L12P_VRN_14,UNUSED,,14,,,,,,,,,
AJ7,,IOBS,IO_L12N_VRP_14,UNUSED,,14,,,,,,,,,
AJ8,scn_data_clt<12>,IOB,IO_L13N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ9,,,GND,,,,,,,,,,,,
AJ10,scn_data_clt<18>,IOB,IO_L4P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ11,scn_data_clt<23>,IOB,IO_L4N_VREF_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ12,scn_data_clt<210>,IOB,IO_L9P_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ13,scn_data_clt<224>,IOB,IO_L5N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ14,,,VCCO_30,,,30,,,,,2.50,,,,
AJ15,scn_data_clt<215>,IOB,IO_L1P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ16,,,CCLK_0,,,,,,,,,,,,
AJ17,scn_id_clt<26>,IOB,IO_L0P_CC_RS1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ18,scn_data_clt<198>,IOB,IO_L2N_A22_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ19,,,GND,,,,,,,,,,,,
AJ20,,,VCCINT,,,,,,,,1.0,,,,
AJ21,,,GND,,,,,,,,,,,,
AJ22,,,VCCINT,,,,,,,,1.0,,,,
AJ23,,,GND,,,,,,,,,,,,
AJ24,,,VCCO_4,,,4,,,,,2.50,,,,
AJ25,scn_data_clt<142>,IOB,IO_L4P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ26,,,VCCINT,,,,,,,,1.0,,,,
AJ27,,,M1_0,,,,,,,,,,,,
AJ28,,,M0_0,,,,,,,,,,,,
AJ29,,,GND,,,,,,,,,,,,
AJ30,scn_data_clt<56>,IOB,IO_L2N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ31,scn_data_clt<100>,IOB,IO_L3P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ32,scn_data_clt<101>,IOB,IO_L3N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ33,scn_data_clt<131>,IOB,IO_L0P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ34,,,VCCO_25,,,25,,,,,2.50,,,,
AJ35,scn_data_clt<148>,IOB,IO_L12N_VRP_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ36,scn_data_clt<181>,IOB,IO_L18P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ37,scn_bvld_clt<18>,IOB,IO_L14N_VREF_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ38,,,GND,,,,,,,,,,,,
AJ39,,,GND,,,,,,,,,,,,
AJ40,,,MGTAVTTRX_117,,,,,,,,,,,,
AJ41,,OPAD,MGTTXN0_117,UNUSED,,,,,,,,,,,
AJ42,,IPAD,MGTRXP0_117,UNUSED,,,,,,,,,,,
AK1,,IPAD,MGTRXN0_118,UNUSED,,,,,,,,,,,
AK2,,,GND,,,,,,,,,,,,
AK3,,IPAD,MGTREFCLKN_118,UNUSED,,,,,,,,,,,
AK4,,IPAD,MGTREFCLKP_118,UNUSED,,,,,,,,,,,
AK5,,,GND,,,,,,,,,,,,
AK6,,,GND,,,,,,,,,,,,
AK7,scn_data_clt<13>,IOB,IO_L14P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AK8,reset,IOB,IO_L11P_CC_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AK9,,IOBM,IO_L6P_14,UNUSED,,14,,,,,,,,,
AK10,scn_data_clt<186>,IOB,IO_L2N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AK11,,,VCCO_26,,,26,,,,,2.50,,,,
AK12,scn_data_clt<122>,IOB,IO_L9N_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AK13,scn_data_clt<227>,IOB,IO_L7P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AK14,scn_data_clt<228>,IOB,IO_L7N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AK15,scn_data_clt<251>,IOB,IO_L19P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AK16,,,GND,,,,,,,,,,,,
AK17,scn_data_clt<194>,IOB,IO_L0N_CC_RS0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AK18,scn_data_clt<196>,IOB,IO_L2P_A23_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AK19,scn_data_clt<164>,IOB,IO_L8N_D2_FS2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AK20,clk,IOB,IO_L9P_CC_GC_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
AK21,,,VCCO_4,,,4,,,,,2.50,,,,
AK22,scn_data_clt<39>,IOB,IO_L12N_VRP_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AK23,scn_data_clt<132>,IOB,IO_L8P_CC_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AK24,scn_data_clt<133>,IOB,IO_L8N_CC_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AK25,scn_data_clt<141>,IOB,IO_L4N_GC_VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AK26,,,GND,,,,,,,,,,,,
AK27,scn_data_clt<193>,IOB,IO_L1N_CC_A24_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AK28,scn_data_clt<195>,IOB,IO_L1P_CC_A25_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AK29,scn_data_clt<115>,IOB,IO_L4P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AK30,scn_data_clt<63>,IOB,IO_L4N_VREF_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AK31,,,VCCO_29,,,29,,,,,2.50,,,,
AK32,scn_data_clt<156>,IOB,IO_L13P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AK33,scn_data_clt<113>,IOB,IO_L13N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AK34,scn_data_clt<109>,IOB,IO_L0N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AK35,scn_data_clt<95>,IOB,IO_L9N_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AK36,,,GND,,,,,,,,,,,,
AK37,scn_bvld_clt<17>,IOB,IO_L14P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AK38,,,GND,,,,,,,,,,,,
AK39,,IPAD,MGTREFCLKP_117,UNUSED,,,,,,,,,,,
AK40,,IPAD,MGTREFCLKN_117,UNUSED,,,,,,,,,,,
AK41,,,GND,,,,,,,,,,,,
AK42,,IPAD,MGTRXN0_117,UNUSED,,,,,,,,,,,
AL1,,IPAD,MGTRXN1_118,UNUSED,,,,,,,,,,,
AL2,,,GND,,,,,,,,,,,,
AL3,,,MGTAVCC_118,,,,,,,,,,,,
AL4,,,GND,,,,,,,,,,,,
AL5,,,GND,,,,,,,,,,,,
AL6,scn_data_clt<3>,IOB,IO_L14N_VREF_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AL7,,IOBS,IO_L11N_CC_14,UNUSED,,14,,,,,,,,,
AL8,,,VCCO_14,,,14,,,,,2.50,,,,
AL9,dpt_id_scn<18>,IOB,IO_L6N_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AL10,scn_data_clt<16>,IOB,IO_L2P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AL11,scn_data_clt<61>,IOB,IO_L7N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AL12,scn_data_clt<184>,IOB,IO_L10N_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AL13,,,GND,,,,,,,,,,,,
AL14,scn_data_clt<246>,IOB,IO_L16N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AL15,scn_data_clt<252>,IOB,IO_L19N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AL16,scn_data_clt<221>,IOB,IO_L4P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AL17,scn_data_clt<201>,IOB,IO_L4P_FCS_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AL18,,,VCCO_2,,,2,,,,,2.50,,,,
AL19,scn_data_clt<192>,IOB,IO_L8P_D3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AL20,scn_data_clt<107>,IOB,IO_L9N_CC_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AL21,scn_data_clt<169>,IOB,IO_L7P_GC_VRN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AL22,scn_data_clt<75>,IOB,IO_L12P_VRN_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AL23,,,GND,,,,,,,,,,,,
AL24,scn_data_clt<106>,IOB,IO_L6N_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AL25,scn_data_clt<168>,IOB,IO_L6P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AL26,scn_data_clt<134>,IOB,IO_L0P_GC_D15_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AL27,scn_data_clt<197>,IOB,IO_L3P_A21_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AL28,,,VCCO_2,,,2,,,,,2.50,,,,
AL29,scn_data_clt<88>,IOB,IO_L17P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AL30,scn_data_clt<89>,IOB,IO_L17N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AL31,scn_data_clt<211>,IOB,IO_L19P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL32,scn_data_clt<189>,IOB,IO_L19N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL33,,,GND,,,,,,,,,,,,
AL34,scn_bvld_clt<26>,IOB,IO_L9P_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL35,scn_data_clt<125>,IOB,IO_L18P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL36,scn_bvld_clt<4>,IOB,IO_L7N_SM2N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AL37,scn_bvld_clt<3>,IOB,IO_L7P_SM2P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AL38,,,GND,,,,,,,,,,,,
AL39,,,GND,,,,,,,,,,,,
AL40,,,MGTAVCC_117,,,,,,,,,,,,
AL41,,,GND,,,,,,,,,,,,
AL42,,IPAD,MGTRXN1_117,UNUSED,,,,,,,,,,,
AM1,,IPAD,MGTRXP1_118,UNUSED,,,,,,,,,,,
AM2,,OPAD,MGTTXN1_118,UNUSED,,,,,,,,,,,
AM3,,,MGTAVCCPLL_118,,,,,,,,,,,,
AM4,,,GND,,,,,,,,,,,,
AM5,scn_data_clt<8>,IOB,IO_L18P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AM6,scn_data_clt<6>,IOB,IO_L19P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AM7,scn_data_clt<10>,IOB,IO_L19N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AM8,scn_data_clt<49>,IOB,IO_L17N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AM9,scn_data_clt<48>,IOB,IO_L17P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AM10,,,GND,,,,,,,,,,,,
AM11,scn_data_clt<28>,IOB,IO_L7P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AM12,scn_data_clt<208>,IOB,IO_L10P_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AM13,scn_data_clt<50>,IOB,IO_L18P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AM14,scn_data_clt<245>,IOB,IO_L16P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AM15,,,VCCO_30,,,30,,,,,2.50,,,,
AM16,scn_data_clt<222>,IOB,IO_L4N_VREF_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AM17,scn_data_clt<199>,IOB,IO_L4N_VREF_FOE_B_MOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AM18,scn_data_clt<205>,IOB,IO_L6P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AM19,scn_data_clt<203>,IOB,IO_L6N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AM20,,,GND,,,,,,,,,,,,
AM21,scn_data_clt<170>,IOB,IO_L7N_GC_VRP_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AM22,scn_data_clt<173>,IOB,IO_L10N_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AM23,scn_data_clt<175>,IOB,IO_L8P_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AM24,scn_data_clt<135>,IOB,IO_L2N_GC_D10_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AM25,,,VCCO_4,,,4,,,,,2.50,,,,
AM26,scn_data_clt<105>,IOB,IO_L0N_GC_D14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AM27,scn_data_clt<200>,IOB,IO_L3N_A20_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AM28,scn_data_clt<121>,IOB,IO_L9P_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AM29,scn_data_clt<84>,IOB,IO_L15P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AM30,,,GND,,,,,,,,,,,,
AM31,scn_data_clt<149>,IOB,IO_L17P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM32,scn_data_clt<144>,IOB,IO_L17N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM33,scn_data_clt<99>,IOB,IO_L8N_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM34,scn_data_clt<130>,IOB,IO_L6P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM35,,,VCCO_25,,,25,,,,,2.50,,,,
AM36,scn_data_clt<120>,IOB,IO_L18N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM37,,,VCCO_13,,,13,,,,,2.50,,,,
AM38,scn_bvld_clt<7>,IOB,IO_L9P_CC_SM0P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AM39,,,GND,,,,,,,,,,,,
AM40,,,MGTAVCCPLL_117,,,,,,,,,,,,
AM41,,OPAD,MGTTXN1_117,UNUSED,,,,,,,,,,,
AM42,,IPAD,MGTRXP1_117,UNUSED,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,
AN2,,OPAD,MGTTXP1_118,UNUSED,,,,,,,,,,,
AN3,,,MGTAVTTTX_118,,,,,,,,,,,,
AN4,,,GND,,,,,,,,,,,,
AN5,scn_data_clt<9>,IOB,IO_L18N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AN6,,,VCCO_14,,,14,,,,,2.50,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,scn_data_clt<155>,IOB,IO_L15N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AN9,scn_data_clt<17>,IOB,IO_L6P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AN10,scn_data_clt<25>,IOB,IO_L6N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AN11,scn_data_clt<60>,IOB,IO_L3N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AN12,,,VCCO_26,,,26,,,,,2.50,,,,
AN13,scn_data_clt<51>,IOB,IO_L18N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AN14,scn_data_clt<233>,IOB,IO_L10P_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AN15,scn_data_clt<234>,IOB,IO_L10N_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AN16,scn_data_clt<235>,IOB,IO_L11P_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AN17,,,GND,,,,,,,,,,,,
AN18,scn_data_clt<217>,IOB,IO_L2P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AN19,scn_data_clt<137>,IOB,IO_L1N_GC_D12_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AN20,scn_data_clt<136>,IOB,IO_L1P_GC_D13_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AN21,scn_data_clt<71>,IOB,IO_L10P_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AN22,,,VCCO_6,,,6,,,,,2.50,,,,
AN23,scn_data_clt<40>,IOB,IO_L13P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AN24,scn_data_clt<73>,IOB,IO_L8N_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AN25,scn_data_clt<138>,IOB,IO_L2P_GC_D11_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AN26,scn_data_clt<206>,IOB,IO_L7N_D4_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AN27,,,GND,,,,,,,,,,,,
AN28,scn_data_clt<176>,IOB,IO_L1P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AN29,scn_data_clt<112>,IOB,IO_L9N_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AN30,scn_data_clt<85>,IOB,IO_L15N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AN31,scn_data_clt<117>,IOB,IO_L15P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN32,,,VCCO_25,,,25,,,,,2.50,,,,
AN33,scn_data_clt<96>,IOB,IO_L8P_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN34,scn_data_clt<128>,IOB,IO_L6N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN35,scn_data_clt<114>,IOB,IO_L16N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN36,scn_data_clt<185>,IOB,IO_L16P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN37,,,GND,,,,,,,,,,,,
AN38,scn_bvld_clt<8>,IOB,IO_L9N_CC_SM0N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AN39,,,GND,,,,,,,,,,,,
AN40,,,MGTAVTTTX_117,,,,,,,,,,,,
